id,bin,containment_id,created_at,updated_at,deleted_at
319,B000489,C005098,,,
320,B000490,C005212,,,
321,B000491,C010630,,,
322,B000492,C005243,,,
323,B000493,C005191,,,
324,B000494,C004888,,,
325,B000495,C004899,,,
326,B000497,C004812,,,
327,B000498,C006488,,,
328,B000499,C006543,,,
329,B000501,C004890,,,
330,B000502,C005097,,,
331,B000503,C006522,,,
332,B000504,C005273,,,
333,B000505,C004919,,,
334,B000507,C005257,,,
335,B000508,C004879,,,
336,B000509,C010629,,,
337,B000512,C011248,,,
338,B000513,C004944,,,
339,B000514,C004898,,,
340,B000515,C004881,,,
341,B000517,C006494,,,
342,B000518,C004742,,,
343,B000519,C006490,,,
344,B000522,C005192,,,
345,B000523,C004880,,,
346,B000524,C005216,,,
347,B000525,C010634,,,
348,B000526,C005222,,,
349,B000527,C004735,,,
350,B000528,C010955,,,
351,B000531,C004743,,,
352,B000535,C004918,,,
353,B000536,C006500,,,
354,B000537,C004877,,,
355,B000538,C005255,,,
356,B000539,C005233,,,
357,B000542,C005213,,,
358,B000543,C004912,,,
359,B000544,C006544,,,
360,B000546,C006562,,,
361,B000548,C004943,,,
362,B000549,C004813,,,
363,B000550,C006557,,,
364,B000551,C004910,,,
365,B000552,C004945,,,
366,B000553,C004744,,,
367,B000555,C004920,,,
368,B000556,C010564,,,
369,B000557,C006505,,,
370,B000559,C005210,,,
371,B000563,C006521,,,
372,B000564,C010886,,,
373,B000565,C005187,,,
374,B000567,C006484,,,
375,B000570,C010555,,,
376,B000572,C004736,,,
377,B000573,C006527,,,
378,B000574,C006491,,,
379,B000575,C004907,,,
380,B000576,C010959,,,
381,B000577,C006501,,,
382,B000578,C004921,,,
383,B000580,C006523,,,
384,B000581,C005214,,,
385,B000582,C004946,,,
386,B000583,C005194,,,
387,B000584,C004729,,,
388,B000585,C005232,,,
389,B000589,C004905,,,
390,B000590,C004882,,,
391,B000591,C005224,,,
392,B000593,C010633,,,
393,B000594,C005096,,,
394,B000596,C004923,,,
395,B000597,C010913,,,
396,B000598,C006545,,,
397,B000599,C005189,,,
398,B000600,C006584,,,
399,B000601,C004745,,,
400,B000602,C010565,,,
401,B000603,C004891,,,
402,B000604,C004878,,,
403,B000605,C006464,,,
404,B000608,C005306,,,
405,B000609,C005244,,,
406,B000611,C006563,,,
407,B000613,C005104,,,
408,B000615,C006578,,,
409,B000617,C005095,,,
410,B000618,C006506,,,
411,B000622,C006458,,,
412,B000623,C005231,,,
413,B000625,C010571,,,
414,B000626,C004746,,,
415,B000627,C004924,,,
416,B000628,C006485,,,
417,B000630,C006483,,,
418,B000631,C006492,,,
419,B000633,C004815,,,
420,B000634,C004942,,,
421,B000636,C004925,,,
422,B000638,C006576,,,
423,B000640,C006556,,,
424,B000642,C004906,,,
425,B000643,C006575,,,
426,B000645,C004728,,,
427,B000646,C004900,,,
428,B000648,C010968,,,
429,B000649,C006526,,,
430,B000650,C006546,,,
431,B000653,C004947,,,
432,B000654,C006465,,,
433,B000655,C004814,,,
434,B000656,C010573,,,
435,B000657,C005225,,,
436,B000660,C006524,,,
437,B000661,C005058,,,
438,B000662,C005188,,,
439,B000664,C005258,,,
440,B000665,C004908,,,
441,B000669,C004883,,,
442,B000670,C004873,,,
443,B000671,C005190,,,
444,B000674,C004872,,,
445,B000675,C004870,,,
446,B000677,C005226,,,
447,B000678,C006525,,,
448,B000679,C005186,,,
449,B000680,C006470,,,
450,B000681,C005230,,,
451,B000682,C005057,,,
452,B000683,C006507,,,
453,B000684,C010961,,,
454,B000685,C004941,,,
455,B000686,C004901,,,
456,B000687,C004948,,,
457,B000690,C005259,,,
458,B000691,C006493,,,
459,B000692,C010939,,,
460,B000693,C005185,,,
461,B000694,C004922,,,
462,B000695,C006564,,,
463,B000697,C004926,,,
464,B000698,C010960,,,
465,B000699,C006449,,,
466,B000702,C010912,,,
467,B000703,C006466,,,
468,B000704,C010296,,,
469,B000705,C010904,,,
470,B000706,C006555,,,
471,B000707,C006459,,,
472,B000708,C006482,,,
473,B000709,C006547,,,
474,B000710,C005184,,,
475,B000711,C004931,,,
476,B000712,C006508,,,
477,B000714,C005059,,,
478,B000715,C004871,,,
479,B000716,C004722,,,
480,B000717,C006554,,,
481,B000718,C005137,,,
482,B000722,C005056,,,
483,B000724,C004723,,,
484,B000725,C004749,,,
485,B000726,C004816,,,
486,B000728,C010563,,,
487,B000729,C006567,,,
488,B000730,C005209,,,
489,B000731,C006481,,,
490,B000732,C005195,,,
491,B000733,C010572,,,
492,B000735,C004909,,,
493,B000737,C006469,,,
494,B000738,C004748,,,
495,B000739,C004724,,,
496,B000740,C005051,,,
497,B000741,C006509,,,
498,B000742,C005206,,,
499,B000744,C006451,,,
500,B000745,C005229,,,
501,B000746,C006448,,,
502,B000747,C006577,,,
503,B000748,C006550,,,
504,B000749,C011398,,,
505,B000750,C004927,,,
506,B000751,C006468,,,
507,B000754,C006548,,,
508,B000755,C011261,,,
509,B000756,C004817,,,
510,B000758,C010903,,,
511,B000759,C005183,,,
512,B000760,C006450,,,
513,B000762,C004819,,,
514,B000763,C005227,,,
515,B000765,C004747,,,
516,B000766,C004932,,,
517,B000767,C004386,,,
518,B000768,C004940,,,
519,B000769,C005052,,,
520,B000770,C006510,,,
521,B000772,C005060,,,
522,B000773,C010568,,,
523,B000774,C004869,,,
524,B000776,C005182,,,
525,B000777,C005208,,,
526,B000778,C010902,,,
527,B000779,C006571,,,
528,B000782,C006574,,,
529,B000783,C006528,,,
530,B000785,C010888,,,
531,B000786,C004385,,,
532,B000788,C011329,,,
533,B000789,C005204,,,
534,B000790,C005053,,,
535,B000791,C006447,,,
536,B000792,C006570,,,
537,B000794,C004820,,,
538,B000795,C006511,,,
539,B000796,C006453,,,
540,B000797,C005197,,,
541,B000800,C004720,,,
542,B000802,C004867,,,
543,B000803,C004721,,,
544,B000804,C006573,,,
545,B000805,C004928,,,
546,B000806,C005228,,,
547,B000808,C005054,,,
548,B000809,C006460,,,
549,B000811,C005162,,,
550,B000812,C004939,,,
551,B000813,C010556,,,
552,B000814,C010567,,,
553,B000816,C005181,,,
554,B000817,C004399,,,
555,B000818,C006551,,,
556,B000819,C005055,,,
557,B000820,C005049,,,
558,B000822,C006569,,,
559,B000823,C005205,,,
560,B000825,C005161,,,
561,B000826,C004868,,,
562,B000827,C005061,,,
563,B000828,C004933,,,
564,B000829,C006572,,,
565,B000830,C006471,,,
566,B000831,C006467,,,
567,B000833,C010551,,,
568,B000834,C005094,,,
569,B000835,C011346,,,
570,B000836,C006452,,,
571,B000837,C010566,,,
572,B000838,C006457,,,
573,B000839,C010973,,,
574,B000840,C010914,,,
575,B000841,C006565,,,
576,B000842,C006454,,,
577,B000844,C005062,,,
578,B000845,C010561,,,
579,B000846,C006446,,,
580,B000847,C006568,,,
581,B000849,C005180,,,
582,B000851,C004719,,,
583,B000852,C010574,,,
584,B000854,C006461,,,
585,B000855,C004929,,,
586,B000858,C005167,,,
587,B000859,C005159,,,
588,B000860,C004400,,,
589,B000861,C004384,,,
590,B000862,C004902,,,
591,B000863,C005050,,,
592,B000865,C010938,,,
593,B000867,C004818,,,
594,B000868,C005073,,,
595,B000869,C004937,,,
596,B000870,C004718,,,
597,B000872,C005196,,,
598,B000873,C005157,,,
599,B000875,C004727,,,
600,B000876,C010887,,,
601,B000877,C005063,,,
602,B000879,C004821,,,
603,B000881,C005179,,,
604,B000882,C011601,,,
605,B000884,C004934,,,
606,B000885,C006558,,,
607,B000888,C004935,,,
608,B000889,C010628,,,
609,B000890,C010906,,,
610,B000891,C006400,,,
611,B000892,C005046,,,
612,B000893,C006474,,,
613,B000894,C005178,,,
614,B000896,C010905,,,
615,B000899,C006559,,,
616,B000900,C006462,,,
617,B000901,C004822,,,
618,B000902,C004938,,,
619,B000903,C004904,,,
620,B000904,C004713,,,
621,B000906,C005047,,,
622,B000909,C006479,,,
623,B000910,C006472,,,
624,B000911,C005198,,,
625,B000913,C004864,,,
626,B000914,C005207,,,
627,B000915,C004401,,,
628,B000916,C004383,,,
629,B000917,C006445,,,
630,B000921,C005158,,,
631,B000923,C006456,,,
632,B000924,C004726,,,
633,B000925,C004936,,,
634,B000927,C005166,,,
635,B000928,C004712,,,
636,B000929,C004863,,,
637,B000932,C010562,,,
638,B000933,C004717,,,
639,B000934,C004372,,,
640,B000935,C004903,,,
641,B000938,C004837,,,
642,B000939,C006455,,,
643,B000940,C005165,,,
644,B000941,C004382,,,
645,B000942,C006476,,,
646,B000943,C010560,,,
647,B000944,C006463,,,
648,B000945,C004930,,,
649,B000946,C005170,,,
650,B000947,C006581,,,
651,B000948,C004716,,,
652,B000949,C006552,,,
653,B000950,C004402,,,
654,B000952,C004725,,,
655,B000953,C005045,,,
656,B000954,C006399,,,
657,B000957,C005048,,,
658,B000958,C000389,,,
659,B000959,C004865,,,
660,B000960,C006480,,,
661,B000964,C004371,,,
662,B000965,C004715,,,
663,B000966,C006553,,,
664,B000968,C006396,,,
665,B000970,C004836,,,
666,B000971,C005163,,,
667,B000972,C005200,,,
668,B000974,C006262,,,
669,B000975,C005064,,,
670,B000976,C004381,,,
671,B000977,C006473,,,
672,B000979,C006475,,,
673,B000980,C011340,,,
674,B000981,C006444,,,
675,B000984,C005160,,,
676,B000985,C010963,,,
677,B000986,C011345,,,
678,B000987,C005177,,,
679,B000990,C005043,,,
680,B000992,C010941,,,
681,B000993,C005201,,,
682,B000994,C004835,,,
683,B000995,C000388,,,
684,B000997,C004398,,,
685,B001001,C004834,,,
686,B001002,C004823,,,
687,B001004,C006394,,,
688,B001005,C006585,,,
689,B001006,C005203,,,
690,B001007,C005044,,,
691,B001009,C005066,,,
692,B001010,C005164,,,
693,B001011,C005199,,,
694,B001012,C005065,,,
695,B001016,C006478,,,
696,B001017,C006561,,,
697,B001019,C004387,,,
698,B001021,C005067,,,
699,B001023,C005042,,,
700,B001024,C010097,,,
701,B001025,C006442,,,
702,B001027,C006435,,,
703,B001028,C003935,,,
704,B001029,C006560,,,
705,B001031,C006428,,,
706,B001033,C006498,,,
707,B001034,C004714,,,
708,B001035,C006263,,,
709,B001036,C006443,,,
710,B001038,C005151,,,
711,B001039,C006582,,,
712,B001042,C010575,,,
713,B001043,C004370,,,
714,B001044,C006397,,,
715,B001046,C006579,,,
716,B001047,C000387,,,
717,B001048,C010099,,,
718,B001049,C011040,,,
719,B001050,C010098,,,
720,B001053,C004833,,,
721,B001055,C010911,,,
722,B001056,C005041,,,
723,B001059,C006393,,,
724,B001060,C005039,,,
725,B001061,C006268,,,
726,B001062,C003936,,,
727,B001063,C000379,,,
728,B001064,C010559,,,
729,B001065,C006401,,,
730,B001067,C004388,,,
731,B001068,C010576,,,
732,B001069,C006260,,,
733,B001071,C010295,,,
734,B001073,C010095,,,
735,B001074,C006583,,,
736,B001076,C004831,,,
737,B001077,C005156,,,
738,B001078,C006441,,,
739,B001079,C004824,,,
740,B001080,C010100,,,
741,B001081,C006395,,,
742,B001083,C006409,,,
743,B001084,C006427,,,
744,B001085,C005175,,,
745,B001086,C006284,,,
746,B001087,C005202,,,
747,B001088,C006477,,,
748,B001089,C006169,,,
749,B001091,C006398,,,
750,B001092,C006261,,,
751,B001093,C004826,,,
752,B001094,C005169,,,
753,B001096,C010558,,,
754,B001097,C005068,,,
755,B001101,C006429,,,
756,B001102,C004866,,,
757,B001104,C006264,,,
758,B001106,C006434,,,
759,B001107,C005155,,,
760,B001108,C010577,,,
761,B001109,C005071,,,
762,B001110,C004389,,,
763,B001111,C004397,,,
764,B001112,C004832,,,
765,B001113,C005040,,,
766,B001114,C010937,,,
767,B001115,C005174,,,
768,B001117,C006402,,,
769,B001118,C005070,,,
770,B001120,C005038,,,
771,B001121,C010958,,,
772,B001124,C006417,,,
773,B001125,C006424,,,
774,B001126,C005168,,,
775,B001127,C010940,,,
776,B001128,C006259,,,
777,B001129,C005176,,,
778,B001130,C010921,,,
779,B001131,C010096,,,
780,B001132,C006403,,,
781,B001134,C004830,,,
782,B001137,C005172,,,
783,B001138,C006416,,,
784,B001139,C006436,,,
785,B001140,C006580,,,
786,B001141,C003932,,,
787,B001143,C006267,,,
788,B001144,C006390,,,
789,B001145,C005037,,,
790,B001146,C006269,,,
791,B001147,C006433,,,
792,B001148,C000384,,,
793,B001150,C006430,,,
794,B001151,C004390,,,
795,B001152,C005173,,,
796,B001153,C011396,,,
797,B001154,C006258,,,
798,B001155,C004827,,,
799,B001156,C004711,,,
800,B001157,C006281,,,
801,B001158,C004838,,,
802,B001159,C011604,,,
803,B001160,C004396,,,
804,B001163,C010935,,,
805,B001164,C006288,,,
806,B001166,C005032,,,
807,B001167,C006404,,,
808,B001168,C006285,,,
809,B001169,C003933,,,
810,B001170,C010907,,,
811,B001171,C006497,,,
812,B001172,C010909,,,
813,B001173,C006418,,,
814,B001174,C006168,,,
815,B001175,C004829,,,
816,B001176,C005034,,,
817,B001177,C006391,,,
818,B001178,C010583,,,
819,B001179,C006431,,,
820,B001181,C006392,,,
821,B001185,C004373,,,
822,B001186,C006275,,,
823,B001187,C006437,,,
824,B001188,C003929,,,
825,B001189,C005171,,,
826,B001190,C005031,,,
827,B001192,C000385,,,
828,B001193,C003934,,,
829,B001194,C004710,,,
830,B001195,C006282,,,
831,B001196,C010910,,,
832,B001197,C006408,,,
833,B001198,C004704,,,
834,B001199,C005140,,,
835,B001200,C004368,,,
836,B001201,C005090,,,
837,B001202,C005036,,,
838,B001203,C006410,,,
839,B001204,C006280,,,
840,B001206,C006419,,,
841,B001207,C005033,,,
842,B001209,C005069,,,
843,B001210,C003928,,,
844,B001211,C006265,,,
845,B001212,C010933,,,
846,B001213,C010934,,,
847,B001214,C006413,,,
848,B001216,C006266,,,
849,B001219,C004825,,,
850,B001220,C011249,,,
851,B001221,C004828,,,
852,B001222,C004391,,,
853,B001223,C004705,,,
854,B001224,C003931,,,
855,B001226,C006270,,,
856,B001227,C006420,,,
857,B001229,C010896,,,
858,B001231,C006405,,,
859,B001234,C005026,,,
860,B001235,C010557,,,
861,B001236,C003927,,,
862,B001237,C010301,,,
863,B001238,C006425,,,
864,B001239,C006440,,,
865,B001240,C010579,,,
866,B001241,C004709,,,
867,B001242,C006276,,,
868,B001243,C003930,,,
869,B001244,C005152,,,
870,B001246,C006412,,,
871,B001247,C005141,,,
872,B001248,C006257,,,
873,B001249,C004369,,,
874,B001252,C006164,,,
875,B001253,C006165,,,
876,B001256,C004703,,,
877,B001257,C004566,,,
878,B001258,C003919,,,
879,B001260,C006421,,,
880,B001261,C010659,,,
881,B001262,C005153,,,
882,B001263,C010294,,,
883,B001264,C010908,,,
884,B001265,C006271,,,
885,B001266,C006432,,,
886,B001267,C006286,,,
887,B001268,C005035,,,
888,B001269,C003918,,,
889,B001270,C010658,,,
890,B001271,C004708,,,
891,B001273,C006426,,,
892,B001276,C005027,,,
893,B001277,C000318,,,
894,B001278,C006411,,,
895,B001280,C005154,,,
896,B001281,C005089,,,
897,B001282,C003917,,,
898,B001283,C006422,,,
899,B001285,C010302,,,
900,B001286,C006389,,,
901,B001287,C004699,,,
902,B001288,C003967,,,
903,B001289,C003966,,,
904,B001291,C004560,,,
905,B001293,C006279,,,
906,B001296,C011260,,,
907,B001297,C006167,,,
908,B001298,C006414,,,
909,B001299,C003926,,,
910,B001301,C004702,,,
911,B001302,C006438,,,
912,B001303,C006272,,,
913,B001304,C003925,,,
914,B001305,C010101,,,
915,B001306,C005028,,,
916,B001307,C004567,,,
917,B001309,C006406,,,
918,B001310,C006166,,,
919,B001311,C005030,,,
920,B001312,C003916,,,
921,B001313,C003924,,,
922,B001315,C005025,,,
923,B001316,C006278,,,
924,B001318,C006277,,,
925,B001319,C004367,,,
926,B001321,C004569,,,
927,B001322,C006287,,,
928,B001323,C004706,,,
929,B001324,C010580,,,
930,B001325,C004568,,,
931,B001326,C003915,,,
932,B001327,C003965,,,
933,B001328,C006423,,,
934,B001329,C004395,,,
935,B001332,C006439,,,
936,B001334,C004707,,,
937,B001335,C004559,,,
938,B001336,C005023,,,
939,B001337,C004700,,,
940,B001340,C005072,,,
941,B001343,C003941,,,
942,B001344,C003914,,,
943,B001345,C010582,,,
944,B001346,C006407,,,
945,B001347,C005024,,,
946,B001348,C000378,,,
947,B001349,C006162,,,
948,B001350,C010591,,,
949,B001351,C005093,,,
950,B001352,C006273,,,
951,B001353,C006170,,,
952,B001354,C004394,,,
953,B001355,C005029,,,
954,B001356,C011399,,,
955,B001357,C006283,,,
956,B001358,C001246,,,
957,B001360,C003922,,,
958,B001361,C006290,,,
959,B001362,C004555,,,
960,B001363,C004841,,,
961,B001364,C006134,,,
962,B001366,C010578,,,
963,B001368,C003963,,,
964,B001369,C003913,,,
965,B001370,C006163,,,
966,B001371,C003970,,,
967,B001372,C003939,,,
968,B001373,C006605,,,
969,B001375,C004840,,,
970,B001376,C006415,,,
971,B001377,C005075,,,
972,B001378,C003943,,,
973,B001379,C010103,,,
974,B001380,C003968,,,
975,B001381,C003921,,,
976,B001382,C004570,,,
977,B001383,C003911,,,
978,B001384,C010134,,,
979,B001385,C005080,,,
980,B001386,C004701,,,
981,B001387,C004393,,,
982,B001389,C004561,,,
983,B001390,C005077,,,
984,B001391,C003942,,,
985,B001393,C004839,,,
986,B001394,C010922,,,
987,B001395,C006161,,,
988,B001396,C005149,,,
989,B001397,C003912,,,
990,B001398,C004562,,,
991,B001399,C004392,,,
992,B001400,C004556,,,
993,B001401,C011636,,,
994,B001402,C010102,,,
995,B001403,C010135,,,
996,B001404,C005076,,,
997,B001405,C003940,,,
998,B001406,C003920,,,
999,B001408,C010953,,,
1000,B001409,C003923,,,
1001,B001411,C003969,,,
1002,B001412,C010584,,,
1003,B001415,C006274,,,
1004,B001416,C005022,,,
1005,B001417,C003950,,,
1006,B001418,C004558,,,
1007,B001419,C003938,,,
1008,B001420,C011397,,,
1009,B001421,C006158,,,
1010,B001422,C004842,,,
1011,B001423,C003910,,,
1012,B001424,C006128,,,
1013,B001425,C010891,,,
1014,B001426,C003937,,,
1015,B001429,C004862,,,
1016,B001430,C003952,,,
1017,B001431,C004563,,,
1018,B001432,C006604,,,
1019,B001433,C005011,,,
1020,B001435,C003904,,,
1021,B001436,C004557,,,
1022,B001437,C001244,,,
1023,B001439,C003909,,,
1024,B001440,C006157,,,
1025,B001441,C005074,,,
1026,B001442,C006388,,,
1027,B001443,C010293,,,
1028,B001444,C005150,,,
1029,B001445,C006365,,,
1030,B001450,C005079,,,
1031,B001451,C006289,,,
1032,B001453,C003903,,,
1033,B001456,C004565,,,
1034,B001457,C005021,,,
1035,B001458,C003964,,,
1036,B001459,C010136,,,
1037,B001460,C010936,,,
1038,B001461,C005019,,,
1039,B001462,C006385,,,
1040,B001463,C004362,,,
1041,B001465,C010638,,,
1042,B001466,C004564,,,
1043,B001467,C005010,,,
1044,B001469,C005012,,,
1045,B001470,C010897,,,
1046,B001471,C004554,,,
1047,B001472,C010892,,,
1048,B001473,C003945,,,
1049,B001474,C005020,,,
1050,B001475,C004360,,,
1051,B001477,C006376,,,
1052,B001478,C006156,,,
1053,B001479,C004859,,,
1054,B001480,C004366,,,
1055,B001481,C003907,,,
1056,B001482,C006132,,,
1057,B001484,C003902,,,
1058,B001485,C006386,,,
1059,B001486,C006381,,,
1060,B001488,C001903,,,
1061,B001489,C003944,,,
1062,B001490,C006374,,,
1063,B001492,C011349,,,
1064,B001493,C004361,,,
1065,B001494,C010965,,,
